11000,Jon Yang,43,M,M,2,0,Bachelors,Professional,no car,1,1-2 Miles,90000.00,Australia,Queensland,Rockhampton,4700,8248.990,659.919,206.225,3,8,2011-01-19 00:00:00.000,2013-05-03 00:00:00.000,835,270,3
11001,Eugene Huang,38,M,S,3,3,Bachelors,Professional,1 car,0,0-1 Miles,60000.00,Australia,Victoria,Seaford,3198,6383.880,510.710,159.598,3,11,2011-01-15 00:00:00.000,2013-12-10 00:00:00.000,1060,49,3
11002,Ruben Torres,43,M,M,3,3,Bachelors,Professional,1 car,1,2-5 Miles,60000.00,Australia,Tasmania,Hobart,7001,8114.040,649.123,202.851,3,4,2011-01-07 00:00:00.000,2013-02-23 00:00:00.000,778,339,3
11003,Christy Zhu,41,F,S,0,0,Bachelors,Professional,1 car,0,5-10 Miles,70000.00,Australia,New South Wales,North Ryde,2113,8139.290,651.143,203.483,3,9,2010-12-29 00:00:00.000,2013-05-10 00:00:00.000,863,263,3
11004,Elizabeth Johnson,35,F,S,5,5,Bachelors,Professional,>= 2 cars,1,1-2 Miles,80000.00,Australia,New South Wales,Wollongong,2500,8196.010,655.681,204.901,3,6,2011-01-23 00:00:00.000,2013-05-01 00:00:00.000,829,272,3
11005,Julio Ruiz,38,M,S,0,0,Bachelors,Professional,1 car,1,5-10 Miles,70000.00,Australia,Queensland,East Brisbane,4169,8121.330,649.706,203.034,3,6,2010-12-30 00:00:00.000,2013-05-02 00:00:00.000,854,271,3
11006,Janet Alvarez,38,F,S,0,0,Bachelors,Professional,1 car,1,5-10 Miles,70000.00,Australia,New South Wales,Matraville,2036,8119.030,649.522,202.976,3,5,2011-01-24 00:00:00.000,2013-05-14 00:00:00.000,841,259,3
11007,Marco Mehta,45,M,M,3,3,Bachelors,Professional,>= 2 cars,1,0-1 Miles,60000.00,Australia,Victoria,Warrnambool,3280,8211.000,656.880,205.275,3,8,2011-01-09 00:00:00.000,2013-03-19 00:00:00.000,800,315,3
11008,Rob Verhoff,39,F,S,4,4,Bachelors,Professional,>= 2 cars,1,10+ Miles,60000.00,Australia,Victoria,Bendigo,3550,8106.310,648.505,202.658,3,7,2011-01-25 00:00:00.000,2013-03-02 00:00:00.000,767,332,3
11009,Shannon Carlson,45,M,S,0,0,Bachelors,Professional,1 car,0,5-10 Miles,70000.00,Australia,Queensland,Hervey Bay,4655,8091.330,647.306,202.284,3,5,2011-01-27 00:00:00.000,2013-05-09 00:00:00.000,833,264,3
